system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:191  debug_display_settings           [   0.19769] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19771] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19772] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19774] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19778] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19779] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19781] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19783] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19785] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19786] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19788] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19790] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19792] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19793] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19795] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19797] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19799] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19800] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19802] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19804] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19806] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19807] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19809] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19811] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
